pos_encoding,epoch,train_loss,val_loss,val_token_acc,val_seq_acc
sinusoidal,1,2.867317284266154,2.5894930591583254,0.17916666666666667,0.0
sinusoidal,2,2.33062348429362,1.660882978439331,0.41833333333333333,0.0
sinusoidal,3,1.3405864448547364,0.27521073174476623,0.9385,0.426
sinusoidal,4,0.6459956885973612,0.044286010473966596,0.9999166666666667,0.999
sinusoidal,5,0.3516617683172226,0.007468875177204609,1.0,1.0
sinusoidal,6,0.20056143180529276,0.003087644712999463,1.0,1.0
sinusoidal,7,0.12740202367305756,0.0012871030205860734,1.0,1.0
sinusoidal,8,0.09900313226381938,0.0007887691445648671,1.0,1.0
sinusoidal,9,0.0738113348086675,0.0005262865647673606,1.0,1.0
sinusoidal,10,0.06533276078104973,0.0004451412730850279,1.0,1.0
sinusoidal,11,0.05880422987540563,0.0003430174486711621,1.0,1.0
sinusoidal,12,0.0535450231830279,0.0003255031171720475,1.0,1.0
sinusoidal,13,0.04691547506054242,0.00023820970999076962,1.0,1.0
sinusoidal,14,0.04175187953313192,0.00021712767379358412,1.0,1.0
sinusoidal,15,0.039244848042726516,0.00019864887138828634,1.0,1.0
sinusoidal,16,0.036873373279968896,0.00019424727943260223,1.0,1.0
sinusoidal,17,0.030040880501270295,0.00013152183743659406,1.0,1.0
sinusoidal,18,0.03213024388253689,0.00012522304779849947,1.0,1.0
sinusoidal,19,0.02846952642997106,0.0001238991846330464,1.0,1.0
sinusoidal,20,0.02783932301402092,0.00013053928152658044,1.0,1.0
sinusoidal,21,0.024310528747737408,0.00011304837721399963,1.0,1.0
sinusoidal,22,0.02254095982760191,0.00010454021481564269,1.0,1.0
sinusoidal,23,0.024205172672867776,8.398796065011993e-05,1.0,1.0
sinusoidal,24,0.023303164268533388,9.262756584212183e-05,1.0,1.0
sinusoidal,25,0.01932192095617453,7.826801348710433e-05,1.0,1.0
sinusoidal,26,0.0182911221832037,6.66306652710773e-05,1.0,1.0
sinusoidal,27,0.022134601463874182,9.217822051141411e-05,1.0,1.0
sinusoidal,28,0.01587630866592129,6.344017334049567e-05,1.0,1.0
sinusoidal,29,0.016885554539660612,6.363899173447863e-05,1.0,1.0
sinusoidal,30,0.017849961536626022,6.370765384053811e-05,1.0,1.0
sinusoidal,31,0.015005461871623993,6.120720176841132e-05,1.0,1.0
sinusoidal,32,0.015295546611150106,5.472341625136323e-05,1.0,1.0
sinusoidal,33,0.014179853060593208,5.89635893702507e-05,1.0,1.0
sinusoidal,34,0.017922415832678475,5.5546370305819435e-05,1.0,1.0
sinusoidal,35,0.012514782451093196,5.0167156383395195e-05,1.0,1.0
sinusoidal,36,0.013828932911157608,4.6008573815925044e-05,1.0,1.0
sinusoidal,37,0.012022327428062756,4.1445735725574194e-05,1.0,1.0
sinusoidal,38,0.013141639923055967,5.8542524231597784e-05,1.0,1.0
sinusoidal,39,0.011880329238871733,3.804016328649595e-05,1.0,1.0
sinusoidal,40,0.011301056822141012,4.023576629697345e-05,1.0,1.0
sinusoidal,41,0.014285505101084709,4.896307236049324e-05,1.0,1.0
sinusoidal,42,0.01108595616867145,3.700989490607754e-05,1.0,1.0
sinusoidal,43,0.009788024488836526,3.623888015863486e-05,1.0,1.0
sinusoidal,44,0.011733193869392077,4.150310336262919e-05,1.0,1.0
sinusoidal,45,0.011102259124318758,3.8441312965005636e-05,1.0,1.0
sinusoidal,46,0.010050362899899483,3.6536205443553625e-05,1.0,1.0
sinusoidal,47,0.009614503892759483,3.186400674167089e-05,1.0,1.0
sinusoidal,48,0.010072801041106383,3.66412075527478e-05,1.0,1.0
sinusoidal,49,0.007335763163864612,2.5416313685127534e-05,1.0,1.0
sinusoidal,50,0.0107977900604407,2.9705331078730523e-05,1.0,1.0
learnable,1,2.802976742426554,1.8523523874282837,0.63075,0.001
learnable,2,0.6274107942581176,0.03675064027309418,1.0,1.0
learnable,3,0.036317662492394445,0.00924029990285635,1.0,1.0
learnable,4,0.01389332548280557,0.0042375243157148365,1.0,1.0
learnable,5,0.007166999042034149,0.0022140805684030054,1.0,1.0
learnable,6,0.003972139150525133,0.0012068617725744842,1.0,1.0
learnable,7,0.002325363904237747,0.0006904012691229582,1.0,1.0
learnable,8,0.0014171641326198975,0.00040204815100878475,1.0,1.0
learnable,9,0.0008842202052474022,0.00022926564677618443,1.0,1.0
learnable,10,0.0005574502253439278,0.00013775512273423373,1.0,1.0
learnable,11,0.0004511664379776145,8.586506068240851e-05,1.0,1.0
learnable,12,0.0004416817177164679,5.632892341236584e-05,1.0,1.0
learnable,13,0.0002334999640006572,3.532851958880201e-05,1.0,1.0
learnable,14,0.00017194048130962376,1.8533950511482545e-05,1.0,1.0
learnable,15,0.00023480557464063167,1.3293259493366349e-05,1.0,1.0
learnable,16,0.0002116896753141191,8.609940974565689e-06,1.0,1.0
learnable,17,0.00025254229603645704,8.866859570844098e-06,1.0,1.0
learnable,18,0.00017960256618001344,4.710203938884661e-06,1.0,1.0
learnable,19,0.0001323635682880801,4.1607709208619784e-06,1.0,1.0
learnable,20,3.676536991648997e-05,2.5245606866519666e-06,1.0,1.0
learnable,21,0.00022198680274110907,3.198871167114703e-06,1.0,1.0
learnable,22,8.473004125213872e-05,2.4557747892686168e-06,1.0,1.0
learnable,23,5.162805508007296e-05,1.5812000901860301e-06,1.0,1.0
learnable,24,5.985963339480804e-05,1.3323808834684314e-06,1.0,1.0
learnable,25,4.621716550900601e-05,1.1277983576292173e-06,1.0,1.0
learnable,26,4.499487317419456e-05,8.473391917505069e-07,1.0,1.0
learnable,27,7.280701710260473e-05,9.602594509487972e-07,1.0,1.0
learnable,28,0.00015564656844556642,7.813368065399118e-07,1.0,1.0
learnable,29,0.00022497894514041642,6.894366033520783e-07,1.0,1.0
learnable,30,0.0001621505739846422,7.230236633404275e-07,1.0,1.0
learnable,31,8.156098060377796e-05,4.959502030033036e-07,1.0,1.0
learnable,32,1.1880539317644434e-05,3.530779638367676e-07,1.0,1.0
learnable,33,7.064470826662728e-06,2.9758604568996816e-07,1.0,1.0
learnable,34,4.8724697183691505e-06,1.843670625021332e-07,1.0,1.0
learnable,35,2.1723866817410454e-05,2.280473322571197e-07,1.0,1.0
learnable,36,0.00021288450202458384,2.8462172667786943e-07,1.0,1.0
learnable,37,0.000302261411054739,4.2787128722920896e-07,1.0,1.0
learnable,38,2.0281127817725064e-05,2.6423719396007074e-07,1.0,1.0
learnable,39,2.9905890716084588e-05,1.6221400505855853e-07,1.0,1.0
learnable,40,9.237069445468175e-05,1.4883276423915958e-07,1.0,1.0
learnable,41,6.87161532459868e-05,1.355906107392002e-07,1.0,1.0
learnable,42,0.0001482481595958234,1.3451772906591942e-07,1.0,1.0
learnable,43,4.73436256312804e-05,1.3848143771610921e-07,1.0,1.0
learnable,44,3.745764858952801e-05,2.533196138756466e-07,1.0,1.0
learnable,45,0.00016576325347705277,7.61727827921277e-07,1.0,1.0
learnable,46,0.00015681633345472317,1.4759099531147513e-07,1.0,1.0
learnable,47,2.6469430030677663e-05,9.198981615554658e-08,1.0,1.0
learnable,48,2.4254583458969138e-06,6.368755327912368e-08,1.0,1.0
learnable,49,0.00012064383615749345,9.103613416527878e-08,1.0,1.0
learnable,50,1.700732417278535e-05,3.4521018903888036e-08,1.0,1.0
fixed_absolute,1,2.8411052322387693,2.535790521621704,0.19225,0.0
fixed_absolute,2,2.330690963745117,1.9451360788345338,0.3055,0.0
fixed_absolute,3,1.9291944780349732,1.502147340774536,0.42341666666666666,0.0
fixed_absolute,4,1.5711320298512776,0.9713450055122376,0.6093333333333333,0.0
fixed_absolute,5,1.3055974283218383,0.6716946301460266,0.7754166666666666,0.041
fixed_absolute,6,1.207188144048055,0.820087215423584,0.59375,0.003
fixed_absolute,7,1.1019530687332153,0.4976184618473053,0.8526666666666667,0.145
fixed_absolute,8,1.016460437297821,0.3961238124370575,0.90575,0.302
fixed_absolute,9,0.9273486642837524,0.32120725274086,0.9288333333333333,0.416
fixed_absolute,10,0.8550495236714681,0.28675372219085693,0.932,0.417
fixed_absolute,11,0.7861457071304321,0.22709199357032775,0.9516666666666667,0.538
fixed_absolute,12,0.7177641843159993,0.1463747570514679,0.985,0.831
fixed_absolute,13,0.6632587196032206,0.11055198723077773,0.9933333333333333,0.924
fixed_absolute,14,0.6238453852335611,0.10797138017416,0.9925833333333334,0.917
fixed_absolute,15,0.5895309635798136,0.09928682726621628,0.99175,0.904
fixed_absolute,16,0.5532436750729879,0.15203005468845368,0.9729166666666667,0.724
fixed_absolute,17,0.5293075900077819,0.12553835356235504,0.97525,0.762
fixed_absolute,18,0.5026945006052653,0.049829863518476486,0.9963333333333333,0.958
fixed_absolute,19,0.4576164837678274,0.08263701045513153,0.9846666666666667,0.824
fixed_absolute,20,0.4316391131877899,0.03179374274611473,0.9985,0.982
fixed_absolute,21,0.41235791238149005,0.026946741461753847,0.9994166666666666,0.993
fixed_absolute,22,0.38560228315989176,0.04718728351593018,0.9956666666666667,0.949
fixed_absolute,23,0.3690960787932078,0.0291216017305851,0.9988333333333334,0.986
fixed_absolute,24,0.3421696333885193,0.011953830704092979,0.9999166666666667,0.999
fixed_absolute,25,0.30875034991900124,0.007235441096127033,0.9999166666666667,0.999
fixed_absolute,26,0.25930227478345236,0.008575786098837853,1.0,1.0
fixed_absolute,27,0.23718671369552613,0.006854669407010078,0.9998333333333334,0.998
fixed_absolute,28,0.23151268315315246,0.004873684447258711,0.9999166666666667,0.999
fixed_absolute,29,0.2072006986141205,0.00417489967867732,1.0,1.0
fixed_absolute,30,0.1824981922308604,0.0016114026056602596,1.0,1.0
fixed_absolute,31,0.17700270557403563,0.0029219503104686738,1.0,1.0
fixed_absolute,32,0.17981501905123393,0.01567537970840931,0.9969166666666667,0.963
fixed_absolute,33,0.21420336918036142,0.002072331180796027,1.0,1.0
fixed_absolute,34,0.19277913014094034,0.010113914050161838,0.9994166666666666,0.993
fixed_absolute,35,0.18040847138563793,0.001430570394732058,1.0,1.0
fixed_absolute,36,0.14230453471342722,0.002097884651273489,1.0,1.0
fixed_absolute,37,0.1400405688683192,0.0008100395575165748,1.0,1.0
fixed_absolute,38,0.1273862146536509,0.003926283273845911,1.0,1.0
fixed_absolute,39,0.18842661052942275,0.0008446213500574231,1.0,1.0
fixed_absolute,40,0.14164434985319774,0.002440146341919899,1.0,1.0
fixed_absolute,41,0.13118070244789123,0.00273712940979749,0.99925,0.991
fixed_absolute,42,0.2837326378822327,0.012940571263432503,0.99775,0.973
fixed_absolute,43,0.25367531275749206,0.0025047281123697757,1.0,1.0
fixed_absolute,44,0.14818023027976354,0.0013288913508877158,1.0,1.0
fixed_absolute,45,0.13032480736573537,0.0004552301412913948,1.0,1.0
fixed_absolute,46,0.13754025781154633,0.0008455422567203641,1.0,1.0
fixed_absolute,47,0.13031559141476948,0.00044402088318020106,1.0,1.0
fixed_absolute,48,0.142365301211675,0.0018258835775777698,0.9995833333333334,0.995
fixed_absolute,49,0.10623603240648906,0.008470362156629562,0.99875,0.986
fixed_absolute,50,0.10561939394474029,0.0005058082502800972,1.0,1.0
none,1,2.8187458979288738,2.554614290237427,0.18166666666666667,0.0
none,2,2.4742531604766844,2.3357328605651855,0.20991666666666667,0.0
