epoch,train_loss,val_loss
1,0.003699353703478088,0.001097647705306843
2,0.0012491242814811744,0.0007263876683532862
3,0.0009926010402973447,0.0006299283385999827
4,0.0009380626283031487,0.0005589471107566069
5,0.0008936871590165771,0.0005710999333341992
6,0.0008888288520132999,0.0006095359932680766
7,0.0008668573269264514,0.00056225591628397
8,0.0008538563834919899,0.0005384998657931918
9,0.0008465856255654777,0.0005799226704009621
10,0.0008454941087425306,0.0006722842788529124
11,0.0008461926147622765,0.0005494463296271757
12,0.0008236784659030263,0.0005506166559166877
13,0.0008349283002249721,0.0005220780076072463
14,0.0008089007169547796,0.0005126935144942836
15,0.0008053464330104479,0.0005356108082259829
16,0.0007956003590299142,0.0005289355215156449
17,0.0007964550252983814,0.0005141977107284552
18,0.0007764845500452145,0.0005027669038949707
19,0.0007679736907129205,0.0005364283255316513
20,0.0007652595568452442,0.0004891060854746435
21,0.0007555490766184863,0.0005037710626126605
22,0.0007519431778134986,0.0004976253405911183
23,0.000744716570205703,0.0004831868438275766
24,0.0007320484649875554,0.0005027985080985977
25,0.0007345799824705945,0.0004742491582001343
26,0.0007351661128868442,0.00047616247150962396
27,0.0007313016727362073,0.0004883151876973786
28,0.0007229588547502527,0.00047459528703813547
29,0.000723645572012975,0.0004951746897689888
30,0.0007190636978453107,0.0005382300525771625
